From	To	Distance	Type
Atrial Fibrillation	Gastrointestinal Neoplasms	1	inter
Atrial Fibrillation	Gaucher Disease	2	inter
Atrial Fibrillation	Gerstmann-Straussler-Scheinker Disease	2	inter
Atrial Fibrillation	Glaucoma	3	inter
Atrial Fibrillation	Glioblastoma	2	inter
Atrial Fibrillation	Glioma	2	inter
Atrial Fibrillation	Glomerulonephritis	2	inter
Atrial Fibrillation	Graft Rejection	2	inter
Atrial Fibrillation	Graft vs Host Disease	2	inter
Atrial Fibrillation	HIV Infections	2	inter
Atrial Fibrillation	HIV-Associated Lipodystrophy Syndrome	3	inter
Atrial Fibrillation	Head and Neck Neoplasms	2	inter
Atrial Fibrillation	Heart Defects, Congenital	1	intra
Atrial Fibrillation	Heart Diseases	3	intra
Atrial Fibrillation	Heart Failure	2	intra
Atrial Fibrillation	Helicobacter pylori	2	inter
Atrial Fibrillation	Helplessness, Learned	2	inter
Atrial Fibrillation	Hemangioma, Cavernous, Central Nervous System	2	intra
Atrial Fibrillation	Hematologic Neoplasms	1	inter
Atrial Fibrillation	Hepatitis B	2	inter
Atrial Fibrillation	Hepatitis B, Chronic	3	inter
Atrial Fibrillation	Hepatitis C	2	inter
Atrial Fibrillation	Hepatitis C, Chronic	2	inter
Atrial Fibrillation	Hepatitis, Alcoholic	3	inter
Atrial Fibrillation	Hepatitis, Chronic	2	inter
Atrial Fibrillation	Hepatoblastoma	3	inter
Atrial Fibrillation	Hirschsprung Disease	3	inter
Atrial Fibrillation	Hodgkin Disease	2	inter
Atrial Fibrillation	Huntington Disease	2	inter
Atrial Fibrillation	Hyperglycemia	3	inter
Atrial Fibrillation	Hypertension, Pulmonary	3	inter
Atrial Fibrillation	Hypertrophy	2	inter
Atrial Fibrillation	Hypoxia-Ischemia, Brain	3	inter
Atrial Fibrillation	Idiopathic Pulmonary Fibrosis	3	inter
Atrial Fibrillation	Infection	2	inter
Atrial Fibrillation	Inferior Wall Myocardial Infarction	2	intra
Atrial Fibrillation	Infertility	2	inter
Atrial Fibrillation	Infertility, Male	3	inter
Atrial Fibrillation	Inflammation	2	inter
Atrial Fibrillation	Inflammatory Bowel Diseases	2	inter
Atrial Fibrillation	Intervertebral Disc Degeneration	3	inter
Atrial Fibrillation	Ischemia	3	inter
Atrial Fibrillation	Kidney Diseases	3	inter
Atrial Fibrillation	Kidney Failure, Chronic	2	inter
Atrial Fibrillation	Kidney Neoplasms	3	inter
Atrial Fibrillation	Laryngeal Neoplasms	1	inter
Atrial Fibrillation	Leukemia	2	inter
Atrial Fibrillation	Leukemia, B-Cell	1	inter
Atrial Fibrillation	Leukemia, Biphenotypic, Acute	3	inter
Atrial Fibrillation	Leukemia, Lymphocytic, Chronic, B-Cell	2	inter
Atrial Fibrillation	Leukemia, Lymphoid	3	inter
Atrial Fibrillation	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	2	inter
Atrial Fibrillation	Leukemia, Myeloid	4	inter
Atrial Fibrillation	Leukemia, Myeloid, Acute	2	inter
Atrial Fibrillation	Leukemia, Promyelocytic, Acute	2	inter
Atrial Fibrillation	Leukemia-Lymphoma, Adult T-Cell	2	inter
Atrial Fibrillation	Lichen Planus	2	inter
Atrial Fibrillation	Lichen Planus, Oral	2	inter
Atrial Fibrillation	Liver Cirrhosis	2	inter
Atrial Fibrillation	Liver Cirrhosis, Biliary	1	inter
Atrial Fibrillation	Liver Diseases	2	inter
Atrial Fibrillation	Liver Diseases, Alcoholic	2	inter
Atrial Fibrillation	Liver Failure	2	inter
Atrial Fibrillation	Liver Neoplasms	2	inter
Atrial Fibrillation	Lung Diseases, Interstitial	1	inter
Atrial Fibrillation	Lung Neoplasms	3	inter
Atrial Fibrillation	Lupus Erythematosus, Systemic	2	inter
Atrial Fibrillation	Lupus Nephritis	3	inter
Atrial Fibrillation	Lymphoma	2	inter
Atrial Fibrillation	Lymphoma, B-Cell	1	inter
Atrial Fibrillation	Lymphoma, Large B-Cell, Diffuse	2	inter
Atrial Fibrillation	Lymphoma, Mantle-Cell	3	inter
Atrial Fibrillation	Lymphoma, Non-Hodgkin	3	inter
Atrial Fibrillation	Lymphoma, Primary Effusion	2	inter
Atrial Fibrillation	Lymphoma, T-Cell	1	inter
Atrial Fibrillation	Macular Degeneration	2	inter
Atrial Fibrillation	Medulloblastoma	3	inter
Atrial Fibrillation	Melanoma	3	inter
Atrial Fibrillation	Meningioma	2	inter
Atrial Fibrillation	Mesothelioma	1	inter
Atrial Fibrillation	Mouth Neoplasms	2	inter
Atrial Fibrillation	Mucocutaneous Lymph Node Syndrome	2	inter
Atrial Fibrillation	Multiple Endocrine Neoplasia Type 1	2	inter
Atrial Fibrillation	Multiple Myeloma	3	inter
Atrial Fibrillation	Multiple Sclerosis	2	inter
Atrial Fibrillation	Muscular Atrophy	3	inter
Atrial Fibrillation	Muscular Atrophy, Spinal	2	inter
Atrial Fibrillation	Muscular Dystrophies	3	inter
Atrial Fibrillation	Muscular Dystrophy, Facioscapulohumeral	3	inter
Atrial Fibrillation	Musculoskeletal Abnormalities	2	inter
Atrial Fibrillation	Mycosis Fungoides	2	inter
Atrial Fibrillation	Myelodysplastic Syndromes	2	inter
Atrial Fibrillation	Myocardial Infarction	2	intra
Atrial Fibrillation	Myocardial Ischemia	3	intra
Atrial Fibrillation	Myocardial Reperfusion Injury	2	intra
Atrial Fibrillation	Myositis	3	inter
Atrial Fibrillation	Myotonic Dystrophy	2	inter
Atrial Fibrillation	Nasopharyngeal Neoplasms	2	inter
Atrial Fibrillation	Neoplasms	2	inter
Atrial Fibrillation	Nephrosclerosis	2	inter
Atrial Fibrillation	Nephrotic Syndrome	1	inter
Atrial Fibrillation	Nervous System Diseases	2	inter
Atrial Fibrillation	Neurilemmoma	2	inter
Atrial Fibrillation	Neuroblastoma	2	inter
Atrial Fibrillation	Neurodegenerative Diseases	3	inter
Atrial Fibrillation	Neuroma	2	inter
Atrial Fibrillation	Neurotoxicity Syndromes	3	inter
Atrial Fibrillation	Niemann-Pick Disease, Type C	3	inter
Atrial Fibrillation	Non-alcoholic Fatty Liver Disease	3	inter
Atrial Fibrillation	Obesity	2	inter
Atrial Fibrillation	Osteoarthritis	2	inter
Atrial Fibrillation	Osteoarthritis, Knee	2	inter
Atrial Fibrillation	Osteogenesis Imperfecta	3	inter
Atrial Fibrillation	Osteonecrosis	3	inter
Atrial Fibrillation	Osteoporosis	3	inter
Atrial Fibrillation	Osteosarcoma	2	inter
Atrial Fibrillation	Otitis Media	1	inter
Atrial Fibrillation	Ovarian Neoplasms	3	inter
Atrial Fibrillation	Pancreatic Neoplasms	2	inter
Atrial Fibrillation	Pancreatitis, Acute Necrotizing	3	inter
Atrial Fibrillation	Papillomaviridae	2	inter
Atrial Fibrillation	Parkinson Disease	3	inter
Atrial Fibrillation	Periodontal Diseases	2	inter
Atrial Fibrillation	Periodontitis	1	inter
Atrial Fibrillation	Peritonitis	2	inter
Atrial Fibrillation	Pheochromocytoma	1	inter
Atrial Fibrillation	Pituitary Neoplasms	2	inter
Atrial Fibrillation	Polycystic Ovary Syndrome	2	inter
Atrial Fibrillation	Polycythemia Vera	3	inter
Atrial Fibrillation	Pre-Eclampsia	3	inter
Atrial Fibrillation	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	2	inter
Atrial Fibrillation	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	2	inter
Atrial Fibrillation	Pregnancy, Ectopic	2	inter
Atrial Fibrillation	Prion Diseases	2	inter
Atrial Fibrillation	Prostatic Neoplasms	2	inter
Atrial Fibrillation	Psoriasis	2	inter
Atrial Fibrillation	Pulmonary Disease, Chronic Obstructive	2	inter
Atrial Fibrillation	Pulmonary Fibrosis	3	inter
Atrial Fibrillation	Rectal Neoplasms	3	inter
Atrial Fibrillation	Reperfusion Injury	2	intra
Atrial Fibrillation	Respiratory Distress Syndrome, Adult	3	inter
Atrial Fibrillation	Respiratory Syncytial Virus Infections	2	inter
Atrial Fibrillation	Retinal Degeneration	3	inter
Atrial Fibrillation	Retinal Neovascularization	3	inter
Atrial Fibrillation	Retinitis Pigmentosa	2	inter
Atrial Fibrillation	Retinoblastoma	2	inter
Atrial Fibrillation	Rhabdomyosarcoma	2	inter
Atrial Fibrillation	Rhinitis, Allergic	2	inter
Atrial Fibrillation	Rhinitis, Allergic, Perennial	2	inter
Atrial Fibrillation	Rhinitis, Vasomotor	2	inter
Atrial Fibrillation	Salivary Gland Neoplasms	2	inter
Atrial Fibrillation	Salmonella Infections	3	inter
Atrial Fibrillation	Sarcoma	3	inter
Atrial Fibrillation	Sarcoma, Ewing	2	inter
Atrial Fibrillation	Sarcoma, Kaposi	2	inter
Atrial Fibrillation	Sarcoma, Synovial	2	inter
Atrial Fibrillation	Schistosomiasis japonica	1	inter
Atrial Fibrillation	Schizophrenia	2	inter
Atrial Fibrillation	Scleroderma, Localized	3	inter
Atrial Fibrillation	Scleroderma, Systemic	2	inter
Atrial Fibrillation	Seizures	3	inter
Atrial Fibrillation	Seminoma	3	inter
Atrial Fibrillation	Sepsis	2	inter
Atrial Fibrillation	Sezary Syndrome	2	inter
Atrial Fibrillation	Shock, Hemorrhagic	2	inter
Atrial Fibrillation	Sjogren's Syndrome	1	inter
Atrial Fibrillation	Small Cell Lung Carcinoma	2	inter
Atrial Fibrillation	Solitary Fibrous Tumor, Pleural	3	inter
Atrial Fibrillation	Spinal Cord Injuries	2	inter
Atrial Fibrillation	Spinal Stenosis	2	inter
Atrial Fibrillation	Spondylitis, Ankylosing	3	inter
Atrial Fibrillation	Squamous Cell Carcinoma, Esophageal	2	inter
Atrial Fibrillation	Squamous Cell Carcinoma, Head and Neck	2	inter
Atrial Fibrillation	Stomach Neoplasms	3	inter
Atrial Fibrillation	Stroke	1	inter
Atrial Fibrillation	Subarachnoid Hemorrhage	3	intra
Atrial Fibrillation	Telangiectasia, Hereditary Hemorrhagic	3	intra
Atrial Fibrillation	Testicular Neoplasms	2	inter
Atrial Fibrillation	Thrombocythemia, Essential	2	inter
Atrial Fibrillation	Thyroid Carcinoma, Anaplastic	2	inter
Atrial Fibrillation	Thyroid Neoplasms	1	inter
Atrial Fibrillation	Thyroiditis, Autoimmune	3	inter
Atrial Fibrillation	Toxoplasmosis	2	inter
Atrial Fibrillation	Triple Negative Breast Neoplasms	2	inter
Atrial Fibrillation	Tuberculosis	2	inter
Atrial Fibrillation	Urinary Bladder Neoplasms	2	inter
Atrial Fibrillation	Uterine Cervical Neoplasms	3	inter
Atrial Fibrillation	Uveal Melanoma	2	inter
Atrial Fibrillation	Vitiligo	2	inter
Atrial Fibrillation	Waldenstrom Macroglobulinemia	2	inter
Autism Spectrum Disorder	Autoimmune Diseases	3	inter
Autism Spectrum Disorder	Azoospermia	3	inter
Autism Spectrum Disorder	Barrett Esophagus	2	inter
Autism Spectrum Disorder	Behcet Syndrome	4	inter
Autism Spectrum Disorder	Biliary Tract Neoplasms	3	inter
Autism Spectrum Disorder	Brain Ischemia	2	inter
Autism Spectrum Disorder	Breast Neoplasms	4	inter
Autism Spectrum Disorder	Bronchiolitis Obliterans	3	inter
Autism Spectrum Disorder	Burkitt Lymphoma	4	inter
Autism Spectrum Disorder	Burns	3	intra
Autism Spectrum Disorder	Carcinoma, Adenoid Cystic	4	inter
Autism Spectrum Disorder	Carcinoma, Basal Cell	5	inter
Autism Spectrum Disorder	Carcinoma, Colon	3	inter
Autism Spectrum Disorder	Carcinoma, Ductal	3	inter
Autism Spectrum Disorder	Carcinoma, Ehrlich Tumor	3	inter
Autism Spectrum Disorder	Carcinoma, Endometrioid	3	inter
Autism Spectrum Disorder	Carcinoma, Hepatocellular	4	inter
Autism Spectrum Disorder	Carcinoma, Merkel Cell	4	inter
Autism Spectrum Disorder	Carcinoma, Nasopharyngeal	3	inter
Autism Spectrum Disorder	Carcinoma, Neuroendocrine	3	inter
Autism Spectrum Disorder	Carcinoma, Non-Small-Cell Lung	3	inter
Autism Spectrum Disorder	Carcinoma, Ovarian	4	inter
Autism Spectrum Disorder	Carcinoma, Pancreatic	3	inter
Autism Spectrum Disorder	Carcinoma, Pancreatic Ductal	3	inter
Autism Spectrum Disorder	Carcinoma, Renal Cell	2	inter
Autism Spectrum Disorder	Carcinoma, Signet Ring Cell	5	inter
Autism Spectrum Disorder	Carcinoma, Skin Appendage	3	inter
Autism Spectrum Disorder	Carcinoma, Squamous Cell	3	inter
Autism Spectrum Disorder	Carcinoma, Thyroid, Follicular	3	inter
Autism Spectrum Disorder	Carcinoma, Thyroid, Medullary	3	inter
Autism Spectrum Disorder	Carcinoma, Thyroid, Papillary	3	inter
Autism Spectrum Disorder	Cardiomegaly	3	inter
Autism Spectrum Disorder	Cardiomyopathy, Alcoholic	3	inter
Autism Spectrum Disorder	Cardiomyopathy, Dilated	3	inter
Autism Spectrum Disorder	Cardiomyopathy, Hypertrophic	2	inter
Autism Spectrum Disorder	Cardiotoxicity	3	inter
Autism Spectrum Disorder	Cardiovascular Diseases	3	inter
Autism Spectrum Disorder	Cataract	3	intra
Autism Spectrum Disorder	Cholangiocarcinoma	3	inter
Autism Spectrum Disorder	Cholesteatoma	3	intra
Autism Spectrum Disorder	Chondrosarcoma	3	inter
Autism Spectrum Disorder	Chordoma	4	inter
Autism Spectrum Disorder	Chorioamnionitis	3	inter
Autism Spectrum Disorder	Choriocarcinoma	3	inter
Autism Spectrum Disorder	Colitis	3	inter
Autism Spectrum Disorder	Colitis, Ulcerative	3	inter
Autism Spectrum Disorder	Colonic Neoplasms	3	inter
Autism Spectrum Disorder	Colorectal Adenocarcinoma	3	inter
Autism Spectrum Disorder	Colorectal Neoplasms	3	inter
Autism Spectrum Disorder	Constriction, Pathologic	4	intra
Autism Spectrum Disorder	Coronary Artery Disease	3	inter
Autism Spectrum Disorder	Creutzfeldt-Jakob Syndrome	3	inter
Autism Spectrum Disorder	Crohn Disease	4	inter
Autism Spectrum Disorder	Cutaneous Melanoma	4	inter
Autism Spectrum Disorder	Cystitis, Interstitial	4	inter
Autism Spectrum Disorder	Cytomegalovirus Retinitis	3	inter
Autism Spectrum Disorder	Demyelinating Diseases	3	inter
Autism Spectrum Disorder	Dermatitis, Atopic	3	inter
Autism Spectrum Disorder	Diabetes Mellitus	3	inter
Autism Spectrum Disorder	Diabetes Mellitus, Type 1	4	inter
Autism Spectrum Disorder	Diabetes Mellitus, Type 2	2	inter
Autism Spectrum Disorder	Diabetic Cardiomyopathies	3	inter
Autism Spectrum Disorder	Diabetic Nephropathies	3	inter
Autism Spectrum Disorder	Digestive System Neoplasms	3	inter
Autism Spectrum Disorder	Down Syndrome	4	inter
Autism Spectrum Disorder	Eclampsia	3	inter
Autism Spectrum Disorder	Endocrine Gland Neoplasms	3	inter
Autism Spectrum Disorder	Endometrial Neoplasms	3	inter
Autism Spectrum Disorder	Endometriosis	3	inter
Autism Spectrum Disorder	Endotoxemia	3	inter
Autism Spectrum Disorder	Eosinophilic Esophagitis	4	inter
Autism Spectrum Disorder	Ependymoma	3	inter
Autism Spectrum Disorder	Epilepsy, Temporal Lobe	3	inter
Autism Spectrum Disorder	Epstein-Barr Virus Infections	3	inter
Autism Spectrum Disorder	Esophageal Neoplasms	2	inter
Autism Spectrum Disorder	Esophagitis	3	inter
Autism Spectrum Disorder	Fatty Liver	3	inter
Autism Spectrum Disorder	Fibromatosis, Aggressive	3	inter
Autism Spectrum Disorder	Fibromyalgia	3	inter
Autism Spectrum Disorder	Follicular Atresia	4	intra
Autism Spectrum Disorder	Gastrointestinal Neoplasms	4	inter
Autism Spectrum Disorder	Gaucher Disease	4	inter
Autism Spectrum Disorder	Gerstmann-Straussler-Scheinker Disease	3	inter
Autism Spectrum Disorder	Glaucoma	4	intra
Autism Spectrum Disorder	Glioblastoma	3	inter
Autism Spectrum Disorder	Glioma	4	inter
Autism Spectrum Disorder	Glomerulonephritis	4	inter
Autism Spectrum Disorder	Graft Rejection	3	intra
Autism Spectrum Disorder	Graft vs Host Disease	4	inter
Autism Spectrum Disorder	HIV Infections	3	inter
Autism Spectrum Disorder	HIV-Associated Lipodystrophy Syndrome	3	inter
Autism Spectrum Disorder	Head and Neck Neoplasms	3	inter
Autism Spectrum Disorder	Heart Defects, Congenital	3	inter
Autism Spectrum Disorder	Heart Diseases	4	inter
Autism Spectrum Disorder	Heart Failure	3	inter
Autism Spectrum Disorder	Helicobacter pylori	3	intra
Autism Spectrum Disorder	Helplessness, Learned	3	intra
Autism Spectrum Disorder	Hemangioma, Cavernous, Central Nervous System	4	inter
Autism Spectrum Disorder	Hematologic Neoplasms	4	inter
Autism Spectrum Disorder	Hepatitis B	3	inter
Autism Spectrum Disorder	Hepatitis B, Chronic	4	inter
Autism Spectrum Disorder	Hepatitis C	3	inter
Autism Spectrum Disorder	Hepatitis C, Chronic	4	inter
Autism Spectrum Disorder	Hepatitis, Alcoholic	4	inter
Autism Spectrum Disorder	Hepatitis, Chronic	3	inter
Autism Spectrum Disorder	Hepatoblastoma	3	inter
Autism Spectrum Disorder	Hirschsprung Disease	2	inter
Autism Spectrum Disorder	Hodgkin Disease	3	inter
Autism Spectrum Disorder	Huntington Disease	3	inter
Autism Spectrum Disorder	Hyperglycemia	3	inter
Autism Spectrum Disorder	Hypertension, Pulmonary	3	inter
Autism Spectrum Disorder	Hypertrophy	3	intra
Autism Spectrum Disorder	Hypoxia-Ischemia, Brain	4	inter
Autism Spectrum Disorder	Idiopathic Pulmonary Fibrosis	4	inter
Autism Spectrum Disorder	Infection	4	inter
Autism Spectrum Disorder	Inferior Wall Myocardial Infarction	3	inter
Autism Spectrum Disorder	Infertility	4	inter
Autism Spectrum Disorder	Infertility, Male	2	inter
Autism Spectrum Disorder	Inflammation	3	intra
Autism Spectrum Disorder	Inflammatory Bowel Diseases	4	inter
Autism Spectrum Disorder	Intervertebral Disc Degeneration	4	inter
Autism Spectrum Disorder	Ischemia	4	intra
Autism Spectrum Disorder	Kidney Diseases	3	inter
Autism Spectrum Disorder	Kidney Failure, Chronic	3	inter
Autism Spectrum Disorder	Kidney Neoplasms	4	inter
Autism Spectrum Disorder	Laryngeal Neoplasms	3	inter
Autism Spectrum Disorder	Leukemia	2	inter
Autism Spectrum Disorder	Leukemia, B-Cell	4	inter
Autism Spectrum Disorder	Leukemia, Biphenotypic, Acute	3	inter
Autism Spectrum Disorder	Leukemia, Lymphocytic, Chronic, B-Cell	3	inter
Autism Spectrum Disorder	Leukemia, Lymphoid	3	inter
Autism Spectrum Disorder	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	4	inter
Autism Spectrum Disorder	Leukemia, Myeloid	5	inter
Autism Spectrum Disorder	Leukemia, Myeloid, Acute	3	inter
Autism Spectrum Disorder	Leukemia, Promyelocytic, Acute	3	inter
Autism Spectrum Disorder	Leukemia-Lymphoma, Adult T-Cell	4	inter
Autism Spectrum Disorder	Lichen Planus	3	inter
Autism Spectrum Disorder	Lichen Planus, Oral	3	inter
Autism Spectrum Disorder	Liver Cirrhosis	3	inter
Autism Spectrum Disorder	Liver Cirrhosis, Biliary	4	inter
Autism Spectrum Disorder	Liver Diseases	3	inter
Autism Spectrum Disorder	Liver Diseases, Alcoholic	4	inter
Autism Spectrum Disorder	Liver Failure	3	inter
Autism Spectrum Disorder	Liver Neoplasms	2	inter
Autism Spectrum Disorder	Lung Diseases, Interstitial	4	inter
Autism Spectrum Disorder	Lung Neoplasms	3	inter
Autism Spectrum Disorder	Lupus Erythematosus, Systemic	3	inter
Autism Spectrum Disorder	Lupus Nephritis	4	inter
Autism Spectrum Disorder	Lymphoma	3	inter
Autism Spectrum Disorder	Lymphoma, B-Cell	3	inter
Autism Spectrum Disorder	Lymphoma, Large B-Cell, Diffuse	3	inter
Autism Spectrum Disorder	Lymphoma, Mantle-Cell	3	inter
Autism Spectrum Disorder	Lymphoma, Non-Hodgkin	3	inter
Autism Spectrum Disorder	Lymphoma, Primary Effusion	3	inter
Autism Spectrum Disorder	Lymphoma, T-Cell	3	inter
Autism Spectrum Disorder	Macular Degeneration	3	intra
Autism Spectrum Disorder	Medulloblastoma	4	inter
Autism Spectrum Disorder	Melanoma	3	inter
Autism Spectrum Disorder	Meningioma	4	inter
Autism Spectrum Disorder	Mesothelioma	4	inter
Autism Spectrum Disorder	Mouth Neoplasms	4	inter
Autism Spectrum Disorder	Mucocutaneous Lymph Node Syndrome	4	inter
Autism Spectrum Disorder	Multiple Endocrine Neoplasia Type 1	4	inter
Autism Spectrum Disorder	Multiple Myeloma	3	inter
Autism Spectrum Disorder	Multiple Sclerosis	3	inter
Autism Spectrum Disorder	Muscular Atrophy	3	inter
Autism Spectrum Disorder	Muscular Atrophy, Spinal	4	inter
Autism Spectrum Disorder	Muscular Dystrophies	3	inter
Autism Spectrum Disorder	Muscular Dystrophy, Facioscapulohumeral	4	inter
Autism Spectrum Disorder	Musculoskeletal Abnormalities	3	inter
Autism Spectrum Disorder	Mycosis Fungoides	3	inter
Autism Spectrum Disorder	Myelodysplastic Syndromes	3	inter
Autism Spectrum Disorder	Myocardial Infarction	3	inter
Autism Spectrum Disorder	Myocardial Ischemia	4	inter
Autism Spectrum Disorder	Myocardial Reperfusion Injury	3	inter
Autism Spectrum Disorder	Myositis	3	inter
Autism Spectrum Disorder	Myotonic Dystrophy	3	inter
Autism Spectrum Disorder	Nasopharyngeal Neoplasms	3	inter
Autism Spectrum Disorder	Neoplasms	3	inter
Autism Spectrum Disorder	Nephrosclerosis	3	inter
Autism Spectrum Disorder	Nephrotic Syndrome	3	inter
Autism Spectrum Disorder	Nervous System Diseases	4	inter
Autism Spectrum Disorder	Neurilemmoma	3	inter
Autism Spectrum Disorder	Neuroblastoma	4	inter
Autism Spectrum Disorder	Neurodegenerative Diseases	5	inter
Autism Spectrum Disorder	Neuroma	3	inter
Autism Spectrum Disorder	Neurotoxicity Syndromes	3	inter
Autism Spectrum Disorder	Niemann-Pick Disease, Type C	3	inter
Autism Spectrum Disorder	Non-alcoholic Fatty Liver Disease	3	inter
Autism Spectrum Disorder	Obesity	3	inter
Autism Spectrum Disorder	Osteoarthritis	3	inter
Autism Spectrum Disorder	Osteoarthritis, Knee	3	inter
Autism Spectrum Disorder	Osteogenesis Imperfecta	4	inter
Autism Spectrum Disorder	Osteonecrosis	4	inter
Autism Spectrum Disorder	Osteoporosis	4	inter
Autism Spectrum Disorder	Osteosarcoma	3	inter
Autism Spectrum Disorder	Otitis Media	4	intra
Autism Spectrum Disorder	Ovarian Neoplasms	3	inter
Autism Spectrum Disorder	Pancreatic Neoplasms	3	inter
Autism Spectrum Disorder	Pancreatitis, Acute Necrotizing	4	inter
Autism Spectrum Disorder	Papillomaviridae	3	intra
Autism Spectrum Disorder	Parkinson Disease	3	inter
Autism Spectrum Disorder	Periodontal Diseases	4	intra
Autism Spectrum Disorder	Periodontitis	4	intra
Autism Spectrum Disorder	Peritonitis	3	inter
Autism Spectrum Disorder	Pheochromocytoma	2	inter
Autism Spectrum Disorder	Pituitary Neoplasms	2	inter
Autism Spectrum Disorder	Polycystic Ovary Syndrome	5	inter
Autism Spectrum Disorder	Polycythemia Vera	4	inter
Autism Spectrum Disorder	Pre-Eclampsia	2	inter
Autism Spectrum Disorder	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	4	inter
Autism Spectrum Disorder	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	4	inter
Autism Spectrum Disorder	Pregnancy, Ectopic	3	inter
Autism Spectrum Disorder	Prion Diseases	3	inter
Autism Spectrum Disorder	Prostatic Neoplasms	4	inter
Autism Spectrum Disorder	Psoriasis	2	inter
Autism Spectrum Disorder	Pulmonary Disease, Chronic Obstructive	3	inter
Autism Spectrum Disorder	Pulmonary Fibrosis	3	inter
Autism Spectrum Disorder	Rectal Neoplasms	4	inter
Autism Spectrum Disorder	Reperfusion Injury	2	inter
Autism Spectrum Disorder	Respiratory Distress Syndrome, Adult	3	inter
Autism Spectrum Disorder	Respiratory Syncytial Virus Infections	3	inter
Autism Spectrum Disorder	Retinal Degeneration	4	intra
Autism Spectrum Disorder	Retinal Neovascularization	3	intra
Autism Spectrum Disorder	Retinitis Pigmentosa	3	intra
Autism Spectrum Disorder	Retinoblastoma	3	inter
Autism Spectrum Disorder	Rhabdomyosarcoma	3	inter
Autism Spectrum Disorder	Rhinitis, Allergic	4	inter
Autism Spectrum Disorder	Rhinitis, Allergic, Perennial	3	inter
Autism Spectrum Disorder	Rhinitis, Vasomotor	4	inter
Autism Spectrum Disorder	Salivary Gland Neoplasms	4	inter
Autism Spectrum Disorder	Salmonella Infections	3	inter
Autism Spectrum Disorder	Sarcoma	3	inter
Autism Spectrum Disorder	Sarcoma, Ewing	4	inter
Autism Spectrum Disorder	Sarcoma, Kaposi	3	inter
Autism Spectrum Disorder	Sarcoma, Synovial	4	inter
Autism Spectrum Disorder	Schistosomiasis japonica	4	inter
Autism Spectrum Disorder	Schizophrenia	3	intra
Autism Spectrum Disorder	Scleroderma, Localized	2	inter
Autism Spectrum Disorder	Scleroderma, Systemic	3	inter
Autism Spectrum Disorder	Seizures	4	inter
Autism Spectrum Disorder	Seminoma	3	inter
Autism Spectrum Disorder	Sepsis	3	inter
Autism Spectrum Disorder	Sezary Syndrome	2	inter
Autism Spectrum Disorder	Shock, Hemorrhagic	4	intra
Autism Spectrum Disorder	Sjogren's Syndrome	3	inter
Autism Spectrum Disorder	Small Cell Lung Carcinoma	3	inter
Autism Spectrum Disorder	Solitary Fibrous Tumor, Pleural	2	inter
Autism Spectrum Disorder	Spinal Cord Injuries	3	inter
Autism Spectrum Disorder	Spinal Stenosis	3	inter
Autism Spectrum Disorder	Spondylitis, Ankylosing	4	inter
Autism Spectrum Disorder	Squamous Cell Carcinoma, Esophageal	3	inter
Autism Spectrum Disorder	Squamous Cell Carcinoma, Head and Neck	3	inter
Autism Spectrum Disorder	Stomach Neoplasms	3	inter
Autism Spectrum Disorder	Stroke	3	inter
Autism Spectrum Disorder	Subarachnoid Hemorrhage	4	inter
Autism Spectrum Disorder	Telangiectasia, Hereditary Hemorrhagic	4	inter
Autism Spectrum Disorder	Testicular Neoplasms	3	inter
Autism Spectrum Disorder	Thrombocythemia, Essential	3	inter
Autism Spectrum Disorder	Thyroid Carcinoma, Anaplastic	3	inter
Autism Spectrum Disorder	Thyroid Neoplasms	3	inter
Autism Spectrum Disorder	Thyroiditis, Autoimmune	4	inter
Autism Spectrum Disorder	Toxoplasmosis	4	inter
Autism Spectrum Disorder	Triple Negative Breast Neoplasms	2	inter
Autism Spectrum Disorder	Tuberculosis	3	inter
Autism Spectrum Disorder	Urinary Bladder Neoplasms	3	inter
Autism Spectrum Disorder	Uterine Cervical Neoplasms	3	inter
Autism Spectrum Disorder	Uveal Melanoma	3	inter
Autism Spectrum Disorder	Vitiligo	3	inter
Autism Spectrum Disorder	Waldenstrom Macroglobulinemia	3	inter
Autoimmune Diseases	Azoospermia	3	inter
Autoimmune Diseases	Barrett Esophagus	2	inter
Autoimmune Diseases	Behcet Syndrome	4	inter
Autoimmune Diseases	Biliary Tract Neoplasms	2	inter
Autoimmune Diseases	Brain Ischemia	2	inter
Autoimmune Diseases	Breast Neoplasms	3	inter
Autoimmune Diseases	Bronchiolitis Obliterans	1	inter
Autoimmune Diseases	Burkitt Lymphoma	3	inter
Autoimmune Diseases	Burns	3	inter
Autoimmune Diseases	Carcinoma, Adenoid Cystic	3	inter
Autoimmune Diseases	Carcinoma, Basal Cell	3	inter
Autoimmune Diseases	Carcinoma, Colon	2	inter
Autoimmune Diseases	Carcinoma, Ductal	2	inter
Autoimmune Diseases	Carcinoma, Ehrlich Tumor	3	inter
Autoimmune Diseases	Carcinoma, Endometrioid	3	inter
Autoimmune Diseases	Carcinoma, Hepatocellular	3	inter
